,Name,ID,Coord
0,corneum,1,"[[['120233' '59176']]

 [['120231' '59177']]

 [['120230' '59178']]

 ...

 [['120233' '59174']]

 [['120233' '59175']]

 [['120233' '59176']]]"
1,spinosum,1,"[[['120269' '59135']]

 [['120267' '59134']]

 [['120264' '59133']]

 [['120263' '59132']]

 [['120263' '59131']]

 [['120262' '59131']]

 [['120261' '59129']]

 [['120260' '59128']]

 [['120258' '59128']]

 [['120256' '59128']]

 [['120254' '59127']]

 [['120254' '59126']]

 [['120253' '59126']]

 [['120251' '59126']]

 [['120250' '59125']]

 [['120249' '59125']]

 [['120247' '59125']]

 [['120246' '59125']]

 [['120245' '59123']]

 [['120244' '59123']]

 [['120243' '59123']]

 [['120242' '59123']]

 [['120241' '59121']]

 [['120239' '59121']]

 [['120238' '59121']]

 [['120237' '59121']]

 [['120236' '59121']]

 [['120235' '59121']]

 [['120234' '59121']]

 [['120231' '59120']]

 [['120230' '59120']]

 [['120229' '59120']]

 [['120228' '59120']]

 [['120225' '59119']]

 [['120224' '59119']]

 [['120222' '59119']]

 [['120221' '59118']]

 [['120219' '59118']]

 [['120216' '59118']]

 [['120211' '59118']]

 [['120203' '59118']]

 [['120194' '59118']]

 [['120186' '59118']]

 [['120181' '59118']]

 [['120177' '59116']]

 [['120173' '59116']]

 [['120169' '59115']]

 [['120165' '59115']]

 [['120160' '59113']]

 [['120152' '59113']]

 [['120147' '59113']]

 [['120144' '59112']]

 [['120140' '59110']]

 [['120134' '59110']]

 [['120126' '59108']]

 [['120121' '59107']]

 [['120118' '59107']]

 [['120116' '59107']]

 [['120113' '59107']]

 [['120111' '59107']]

 [['120108' '59107']]

 [['120107' '59107']]

 [['120105' '59107']]

 [['120102' '59107']]

 [['120100' '59107']]

 [['120098' '59107']]

 [['120097' '59107']]

 [['120095' '59107']]

 [['120094' '59105']]

 [['120092' '59105']]

 [['120090' '59105']]

 [['120087' '59105']]

 [['120086' '59103']]

 [['120084' '59103']]

 [['120082' '59103']]

 [['120079' '59103']]

 [['120077' '59103']]

 [['120076' '59103']]

 [['120074' '59105']]

 [['120073' '59107']]

 [['120069' '59108']]

 [['120068' '59112']]

 [['120066' '59115']]

 [['120065' '59118']]

 [['120061' '59120']]

 [['120060' '59124']]

 [['120057' '59128']]

 [['120053' '59132']]

 [['120050' '59136']]

 [['120047' '59141']]

 [['120044' '59145']]

 [['120042' '59150']]

 [['120039' '59153']]

 [['120037' '59157']]

 [['120034' '59160']]

 [['120032' '59163']]

 [['120031' '59168']]

 [['120029' '59171']]

 [['120027' '59176']]

 [['120026' '59181']]

 [['120024' '59186']]

 [['120024' '59191']]

 [['120024' '59194']]

 [['120023' '59195']]

 [['120023' '59200']]

 [['120021' '59205']]

 [['120021' '59208']]

 [['120019' '59213']]

 [['120018' '59218']]

 [['120015' '59223']]

 [['120013' '59229']]

 [['120010' '59237']]

 [['120008' '59244']]

 [['120007' '59252']]

 [['120003' '59257']]

 [['120002' '59263']]

 [['120000' '59266']]

 [['119998' '59270']]

 [['119997' '59276']]

 [['119995' '59281']]

 [['119992' '59287']]

 [['119989' '59294']]

 [['119986' '59302']]

 [['119982' '59308']]

 [['119979' '59316']]

 [['119976' '59321']]

 [['119974' '59328']]

 [['119971' '59332']]

 [['119969' '59337']]

 [['119969' '59339']]

 [['119966' '59347']]

 [['119965' '59349']]

 [['119965' '59352']]

 [['119963' '59355']]

 [['119960' '59360']]

 [['119960' '59366']]

 [['119960' '59368']]

 [['119958' '59370']]

 [['119958' '59374']]

 [['119958' '59378']]

 [['119958' '59381']]

 [['119958' '59386']]

 [['119957' '59389']]

 [['119957' '59391']]

 [['119957' '59392']]

 [['119957' '59395']]

 [['119955' '59397']]

 [['119955' '59400']]

 [['119955' '59403']]

 [['119955' '59407']]

 [['119955' '59410']]

 [['119955' '59416']]

 [['119955' '59423']]

 [['119955' '59429']]

 [['119957' '59437']]

 [['119957' '59445']]

 [['119958' '59450']]

 [['119960' '59457']]

 [['119961' '59460']]

 [['119961' '59465']]

 [['119961' '59468']]

 [['119963' '59473']]

 [['119965' '59478']]

 [['119965' '59481']]

 [['119965' '59482']]

 [['119965' '59487']]

 [['119966' '59491']]

 [['119966' '59494']]

 [['119966' '59495']]

 [['119966' '59497']]

 [['119966' '59499']]

 [['119966' '59500']]

 [['119968' '59502']]

 [['119969' '59507']]

 [['119969' '59508']]

 [['119969' '59513']]

 [['119969' '59516']]

 [['119969' '59518']]

 [['119971' '59523']]

 [['119971' '59526']]

 [['119971' '59528']]

 [['119973' '59528']]

 [['119973' '59529']]

 [['119973' '59531']]

 [['119973' '59534']]

 [['119973' '59536']]

 [['119973' '59537']]

 [['119973' '59539']]

 [['119971' '59542']]

 [['119971' '59547']]

 [['119971' '59549']]

 [['119971' '59552']]

 [['119971' '59553']]

 [['119971' '59557']]

 [['119971' '59558']]

 [['119971' '59560']]

 [['119971' '59562']]

 [['119971' '59563']]

 [['119971' '59565']]

 [['119969' '59566']]

 [['119969' '59570']]

 [['119969' '59571']]

 [['119967' '59573']]

 [['119966' '59574']]

 [['119966' '59578']]

 [['119964' '59581']]

 [['119962' '59586']]

 [['119961' '59587']]

 [['119959' '59590']]

 [['119958' '59594']]

 [['119956' '59595']]

 [['119953' '59599']]

 [['119946' '59602']]

 [['119950' '59602']]

 [['119951' '59603']]

 [['119953' '59603']]

 [['119954' '59603']]

 [['119956' '59603']]

 [['119959' '59605']]

 [['119961' '59607']]

 [['119962' '59607']]

 [['119964' '59607']]

 [['119966' '59608']]

 [['119967' '59608']]

 [['119969' '59608']]

 [['119971' '59608']]

 [['119974' '59610']]

 [['119977' '59611']]

 [['119979' '59611']]

 [['119985' '59611']]

 [['119990' '59613']]

 [['119995' '59613']]

 [['119998' '59615']]

 [['120003' '59615']]

 [['120006' '59615']]

 [['120012' '59616']]

 [['120017' '59616']]

 [['120025' '59618']]

 [['120032' '59618']]

 [['120035' '59619']]

 [['120038' '59619']]

 [['120045' '59619']]

 [['120051' '59623']]

 [['120061' '59626']]

 [['120067' '59629']]

 [['120069' '59629']]

 [['120074' '59629']]

 [['120075' '59629']]

 [['120077' '59635']]

 [['120084' '59635']]

 [['120087' '59635']]

 [['120091' '59635']]

 [['120094' '59636']]

 [['120101' '59637']]

 [['120109' '59639']]

 [['120110' '59639']]

 [['120115' '59639']]

 [['120118' '59639']]

 [['120123' '59640']]

 [['120128' '59640']]

 [['120133' '59640']]

 [['120136' '59640']]

 [['120140' '59640']]

 [['120144' '59640']]

 [['120147' '59640']]

 [['120155' '59642']]

 [['120159' '59642']]

 [['120164' '59642']]

 [['120167' '59642']]

 [['120169' '59642']]

 [['120172' '59643']]

 [['120173' '59643']]

 [['120175' '59643']]

 [['120176' '59643']]

 [['120177' '59644']]

 [['120180' '59644']]

 [['120182' '59645']]

 [['120186' '59645']]

 [['120190' '59645']]

 [['120191' '59645']]

 [['120193' '59646']]

 [['120194' '59646']]

 [['120197' '59648']]

 [['120200' '59648']]

 [['120202' '59648']]

 [['120205' '59648']]

 [['120207' '59648']]

 [['120208' '59648']]

 [['120210' '59649']]

 [['120211' '59649']]

 [['120212' '59649']]

 [['120215' '59650']]

 [['120216' '59650']]

 [['120218' '59650']]

 [['120219' '59650']]

 [['120220' '59649']]

 [['120222' '59645']]

 [['120225' '59645']]

 [['120229' '59645']]

 [['120233' '59645']]

 [['120237' '59644']]

 [['120238' '59644']]

 [['120243' '59639']]

 [['120242' '59642']]

 [['120243' '59642']]

 [['120243' '59640']]

 [['120245' '59640']]

 [['120245' '59639']]

 [['120246' '59637']]

 [['120248' '59636']]

 [['120248' '59634']]

 [['120250' '59634']]

 [['120251' '59631']]

 [['120253' '59629']]

 [['120254' '59628']]

 [['120254' '59626']]

 [['120256' '59626']]

 [['120258' '59624']]

 [['120259' '59623']]

 [['120261' '59621']]

 [['120261' '59619']]

 [['120262' '59618']]

 [['120264' '59618']]

 [['120264' '59616']]

 [['120266' '59613']]

 [['120267' '59611']]

 [['120269' '59610']]

 [['120271' '59608']]

 [['120271' '59607']]

 [['120272' '59605']]

 [['120274' '59602']]

 [['120275' '59600']]

 [['120275' '59599']]

 [['120277' '59597']]

 [['120277' '59595']]

 [['120279' '59594']]

 [['120280' '59590']]

 [['120282' '59589']]

 [['120282' '59587']]

 [['120283' '59587']]

 [['120285' '59584']]

 [['120287' '59582']]

 [['120287' '59581']]

 [['120288' '59579']]

 [['120290' '59578']]

 [['120290' '59576']]

 [['120292' '59576']]

 [['120293' '59574']]

 [['120295' '59571']]

 [['120296' '59568']]

 [['120298' '59565']]

 [['120300' '59563']]

 [['120300' '59561']]

 [['120301' '59558']]

 [['120303' '59557']]

 [['120303' '59553']]

 [['120304' '59552']]

 [['120306' '59549']]

 [['120308' '59544']]

 [['120311' '59539']]

 [['120314' '59531']]

 [['120316' '59528']]

 [['120317' '59521']]

 [['120321' '59518']]

 [['120321' '59513']]

 [['120322' '59508']]

 [['120324' '59505']]

 [['120325' '59503']]

 [['120325' '59500']]

 [['120325' '59499']]

 [['120325' '59495']]

 [['120327' '59494']]

 [['120327' '59490']]

 [['120327' '59489']]

 [['120327' '59486']]

 [['120329' '59482']]

 [['120330' '59476']]

 [['120332' '59471']]

 [['120332' '59466']]

 [['120332' '59465']]

 [['120332' '59460']]

 [['120333' '59457']]

 [['120333' '59453']]

 [['120333' '59449']]

 [['120333' '59445']]

 [['120333' '59444']]

 [['120333' '59440']]

 [['120333' '59439']]

 [['120333' '59436']]

 [['120333' '59432']]

 [['120333' '59428']]

 [['120333' '59423']]

 [['120333' '59418']]

 [['120333' '59413']]

 [['120333' '59403']]

 [['120333' '59399']]

 [['120333' '59394']]

 [['120332' '59390']]

 [['120332' '59387']]

 [['120332' '59382']]

 [['120332' '59378']]

 [['120332' '59369']]

 [['120330' '59363']]

 [['120330' '59358']]

 [['120329' '59352']]

 [['120324' '59347']]

 [['120324' '59345']]

 [['120322' '59344']]

 [['120321' '59340']]

 [['120317' '59337']]

 [['120316' '59334']]

 [['120316' '59332']]

 [['120312' '59331']]

 [['120311' '59324']]

 [['120309' '59319']]

 [['120306' '59315']]

 [['120304' '59310']]

 [['120303' '59307']]

 [['120301' '59305']]

 [['120300' '59303']]

 [['120300' '59302']]

 [['120298' '59299']]

 [['120295' '59295']]

 [['120293' '59292']]

 [['120292' '59287']]

 [['120290' '59284']]

 [['120287' '59278']]

 [['120287' '59273']]

 [['120285' '59273']]

 [['120285' '59269']]

 [['120282' '59266']]

 [['120282' '59263']]

 [['120280' '59260']]

 [['120279' '59255']]

 [['120275' '59249']]

 [['120274' '59247']]

 [['120272' '59244']]

 [['120271' '59240']]

 [['120269' '59237']]

 [['120269' '59234']]

 [['120267' '59232']]

 [['120267' '59229']]

 [['120266' '59224']]

 [['120266' '59221']]

 [['120266' '59216']]

 [['120266' '59211']]

 [['120264' '59207']]

 [['120264' '59202']]

 [['120264' '59199']]

 [['120264' '59195']]

 [['120264' '59194']]

 [['120264' '59190']]

 [['120264' '59189']]

 [['120264' '59187']]

 [['120264' '59186']]

 [['120264' '59184']]

 [['120264' '59182']]

 [['120264' '59181']]

 [['120264' '59179']]

 [['120264' '59178']]

 [['120264' '59176']]

 [['120264' '59174']]

 [['120264' '59173']]

 [['120264' '59171']]

 [['120264' '59169']]

 [['120266' '59168']]

 [['120266' '59166']]

 [['120266' '59163']]

 [['120267' '59163']]

 [['120267' '59161']]

 [['120269' '59158']]

 [['120269' '59157']]

 [['120271' '59155']]

 [['120271' '59153']]

 [['120271' '59152']]

 [['120271' '59150']]

 [['120271' '59149']]

 [['120272' '59149']]

 [['120272' '59147']]

 [['120274' '59144']]

 [['120274' '59142']]

 [['120274' '59139']]

 [['120275' '59139']]

 [['120275' '59137']]

 [['120275' '59136']]

 [['120275' '59134']]

 [['120275' '59132']]

 [['120275' '59131']]

 [['120269' '59135']]]"
2,hairshaft,1,"[[['121571' '44243']]

 [['121570' '44243']]

 [['121569' '44243']]

 ...

 [['122370' '44463']]

 [['122369' '44463']]

 [['122363' '44463']]]"
3,hairshaft,2,"[[['121571' '44243']]

 [['121570' '44243']]

 [['121569' '44243']]

 ...

 [['122370' '44463']]

 [['122369' '44463']]

 [['122363' '44463']]]"
4,hairfollicle,1,"[[['121519' '44022']]

 [['121514' '44021']]

 [['121511' '44021']]

 ...

 [['120222' '43539']]

 [['120221' '43539']]

 [['120221' '43545']]]"
5,hairfollicle,2,"[[['121519' '44022']]

 [['121514' '44021']]

 [['121511' '44021']]

 ...

 [['120222' '43539']]

 [['120221' '43539']]

 [['120221' '43545']]]"
6,hairfollicle,3,"[[['121519' '44022']]

 [['121514' '44021']]

 [['121511' '44021']]

 ...

 [['120222' '43539']]

 [['120221' '43539']]

 [['120221' '43545']]]"
7,smoothmuscle,1,"[[['126280' '39558']]

 [['126279' '39558']]

 [['126277' '39559']]

 ...

 [['108751' '64994']]

 [['108747' '64991']]

 [['108736' '64985']]]"
8,smoothmuscle,2,"[[['126280' '39558']]

 [['126279' '39558']]

 [['126277' '39559']]

 ...

 [['108751' '64994']]

 [['108747' '64991']]

 [['108736' '64985']]]"
9,oil,1,"[[['120275' '43590']]

 [['120274' '43590']]

 [['120273' '43590']]

 ...

 [['120280' '43585']]

 [['120278' '43587']]

 [['120275' '43590']]]"
